FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.4929,-0.3097,-0.3658,-0.2583,-0.2374,-0.3947,-0.596,-1.0123,-0.5934,-0.5561,-0.0914,0.4186,-0.081,-0.0099,-0.4558,-0.233,-0.6326,-0.4496,-0.6393,-0.1681,-0.1798,-0.6159,-0.8644,-0.2647,-0.4723,-0.2566,0.0541,-0.0222,-0.2778,-0.0332
-0.8579,-0.6472,-0.6644,-0.5206,-0.4093,-0.5453,-0.5679,-0.9696,-0.5177,-0.43,-0.1074,0.4101,-0.0844,-0.1293,-0.7809,-0.5836,-1.0853,-0.7744,-0.9884,-0.527,-0.3938,-0.7832,-1.0023,-0.2341,-0.2645,-0.1433,0.1085,-0.1468,-0.5455,-0.3431
-1.1965,-0.9708,-0.9429,-0.7757,-0.5887,-0.6883,-0.5124,-0.8669,-0.4256,-0.2715,-0.1316,0.3768,-0.0992,-0.2734,-1.0849,-0.9279,-1.5004,-1.0783,-1.3071,-0.8934,-0.6366,-0.9282,-1.1019,-0.2094,-0.0568,-0.0375,0.1379,-0.2986,-0.7925,-0.6494
-1.4707,-1.2391,-1.1671,-0.9902,-0.7524,-0.8034,-0.436,-0.7125,-0.3227,-0.0951,-0.1654,0.3152,-0.131,-0.4282,-1.34,-1.2195,-1.8418,-1.3347,-1.5675,-1.2272,-0.8823,-1.0414,-1.1571,-0.1981,0.1335,0.0479,0.1352,-0.4737,-0.9996,-0.922
-1.6493,-1.4155,-1.3082,-1.1338,-0.8753,-0.8719,-0.3439,-0.5201,-0.2113,0.0864,-0.2056,0.2263,-0.1797,-0.5732,-1.5213,-1.4165,-2.0797,-1.5196,-1.7449,-1.4882,-1.0978,-1.112,-1.1636,-0.2038,0.2933,0.1038,0.0987,-0.6636,-1.1515,-1.1342
-1.715,-1.4774,-1.3499,-1.1872,-0.937,-0.8814,-0.2409,-0.3069,-0.0913,0.2629,-0.2448,0.1161,-0.2415,-0.6878,-1.612,-1.4908,-2.1969,-1.616,-1.8229,-1.6458,-1.252,-1.1318,-1.1214,-0.2277,0.4129,0.1241,0.0311,-0.8571,-1.2389,-1.2673
-1.6699,-1.4222,-1.2931,-1.1484,-0.9289,-0.8302,-0.133,-0.0909,0.0385,0.4257,-0.2739,-0.005,-0.3113,-0.7583,-1.6081,-1.4362,-2.1925,-1.6173,-1.7986,-1.6871,-1.3254,-1.0999,-1.0371,-0.2702,0.4847,0.1051,-0.0635,-1.0438,-1.2611,-1.3138
-1.5363,-1.269,-1.157,-1.0344,-0.8581,-0.7288,-0.0291,0.11,0.1774,0.5668,-0.285,-0.1242,-0.3868,-0.7837,-1.5197,-1.2702,-2.0829,-1.5293,-1.6843,-1.6221,-1.3176,-1.0259,-0.9254,-0.3331,0.5024,0.0447,-0.181,-1.2164,-1.2259,-1.2788
-1.353,-1.0544,-0.9745,-0.8781,-0.7473,-0.599,0.0583,0.2795,0.3205,0.6766,-0.2741,-0.2294,-0.4696,-0.7771,-1.3708,-1.0308,-1.8993,-1.3702,-1.5068,-1.4817,-1.2487,-0.9305,-0.8088,-0.4202,0.4605,-0.0575,-0.3192,-1.3721,-1.1481,-1.1776
-1.1664,-0.825,-0.7854,-0.7206,-0.6299,-0.4699,0.1138,0.4042,0.4578,0.7441,-0.2427,-0.3109,-0.5655,-0.7633,-1.1948,-0.7689,-1.6819,-1.1673,-1.3036,-1.3115,-1.1558,-0.8427,-0.714,-0.5366,0.3558,-0.1999,-0.477,-1.5114,-1.0467,-1.0322
