FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.3605,-0.017,-0.122,-0.1501,-0.1115,-0.2288,0.3166,0.3198,0.2971,0.3876,0.1855,-0.2411,-0.3018,-0.2883,-0.0301,-0.6473,-0.4308,-0.075,-0.2728,-0.6256,-0.76,-0.5528,-0.0515,-0.4373,-0.4325,-0.1731,-0.3728,-0.4538,0.1907,0.141
0.43,0.0753,-0.1093,-0.0876,-0.0918,-0.2314,0.2612,0.2062,0.2466,0.2941,0.113,-0.2658,-0.313,-0.3027,0.0086,-0.6003,-0.3772,-0.0042,-0.2343,-0.5833,-0.7336,-0.5328,-0.0113,-0.4908,-0.4251,-0.2148,-0.4147,-0.5222,0.228,0.1537
0.4861,0.1844,-0.0638,-0.0121,-0.061,-0.2275,0.2137,0.1204,0.2165,0.2121,0.0668,-0.2675,-0.3269,-0.3296,0.0117,-0.5506,-0.3302,0.0196,-0.2194,-0.5331,-0.7065,-0.543,-0.0039,-0.5685,-0.4454,-0.2816,-0.4742,-0.5809,0.2797,0.1597
0.5275,0.299,0.0186,0.0694,-0.0253,-0.2186,0.1779,0.0725,0.2103,0.1506,0.0526,-0.2455,-0.345,-0.3689,-0.0155,-0.5054,-0.2924,-0.0066,-0.2274,-0.4828,-0.6849,-0.5825,-0.0293,-0.6619,-0.4955,-0.364,-0.541,-0.6196,0.3425,0.1589
0.5561,0.4066,0.1352,0.1501,0.0091,-0.204,0.1594,0.0716,0.2344,0.119,0.0744,-0.2032,-0.3673,-0.4203,-0.0604,-0.4705,-0.268,-0.0745,-0.2559,-0.4398,-0.675,-0.6469,-0.0845,-0.7604,-0.5732,-0.4493,-0.6032,-0.6314,0.4103,0.1507
0.5758,0.4956,0.2754,0.2245,0.0387,-0.1797,0.166,0.1257,0.2981,0.1255,0.1339,-0.1485,-0.3922,-0.4828,-0.1069,-0.4494,-0.2629,-0.1658,-0.3019,-0.4095,-0.6809,-0.7291,-0.1642,-0.8528,-0.6714,-0.5237,-0.6494,-0.6144,0.4744,0.1339
0.5908,0.556,0.4218,0.2878,0.0617,-0.1402,0.2049,0.2404,0.4126,0.1761,0.2298,-0.0942,-0.4177,-0.5546,-0.1401,-0.4439,-0.2844,-0.256,-0.3626,-0.3954,-0.7052,-0.8214,-0.261,-0.9295,-0.7786,-0.5741,-0.6717,-0.5733,0.5242,0.1061
0.6017,0.5783,0.5523,0.3334,0.0753,-0.083,0.2785,0.4167,0.587,0.2722,0.3566,-0.0571,-0.4441,-0.6346,-0.1518,-0.4562,-0.3406,-0.3215,-0.4375,-0.4006,-0.7492,-0.9174,-0.3671,-0.9843,-0.8791,-0.5896,-0.6675,-0.5186,0.5476,0.0638
0.6019,0.5513,0.6413,0.3494,0.072,-0.0139,0.3806,0.6482,0.8256,0.4076,0.5038,-0.0555,-0.4765,-0.7249,-0.1461,-0.492,-0.4402,-0.3487,-0.5289,-0.4315,-0.8163,-1.0149,-0.4758,-1.0163,-0.9548,-0.5622,-0.64,-0.4642,0.5318,0.002
0.5755,0.4598,0.661,0.3163,0.0358,0.0497,0.4936,0.9201,1.1244,0.5683,0.6568,-0.1057,-0.5258,-0.8327,-0.1424,-0.5643,-0.5917,-0.341,-0.6438,-0.5008,-0.9144,-1.117,-0.583,-1.0299,-0.9863,-0.4863,-0.597,-0.4231,0.4628,-0.0863
0.4969,0.2844,0.583,0.2071,-0.0577,0.0776,0.5897,1.2089,1.4696,0.7331,0.7998,-0.2166,-0.6082,-0.9714,-0.1747,-0.6941,-0.8029,-0.322,-0.7928,-0.6287,-1.0576,-1.2329,-0.6883,-1.0331,-0.9556,-0.3573,-0.5476,-0.4029,0.3266,-0.2102
0.3345,0.0037,0.3798,-0.0089,-0.2385,0.0319,0.6363,1.4852,1.8385,0.8776,0.9192,-0.3847,-0.741,-1.1584,-0.2859,-0.9085,-1.0786,-0.3324,-0.989,-0.8415,-1.265,-1.3754,-0.7948,-1.0339,-0.8474,-0.1702,-0.4973,-0.4012,0.1094,-0.38
