FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-1.1504,-1.1731,-0.9805,-0.9897,-0.8309,-0.7289,-0.663,-0.4861,-0.4673,-0.7489,-0.5153,-0.4116,-1.0781,-1.1154,-1.2049,-1.3134,-1.2896,-1.0374,-1.1714,-1.2097,-1.1435,-0.8636,-0.6872,-0.7397,-0.4324,-0.2794,-0.6325,-0.3216,-1.0461,-0.9692
-1.1999,-1.213,-1.0948,-1.0189,-0.8685,-0.7852,-0.6577,-0.4975,-0.4135,-0.7157,-0.4564,-0.3728,-1.0815,-1.1468,-1.2485,-1.3866,-1.3532,-1.0429,-1.1864,-1.2817,-1.1939,-0.8655,-0.6409,-0.6967,-0.3658,-0.1873,-0.5617,-0.2708,-1.1331,-1.0921
-1.1733,-1.194,-1.1458,-0.9947,-0.8564,-0.7971,-0.6095,-0.4818,-0.3323,-0.6381,-0.3722,-0.3026,-1.0171,-1.0993,-1.2051,-1.3833,-1.3384,-0.972,-1.1376,-1.2752,-1.1672,-0.8194,-0.5544,-0.6061,-0.274,-0.0815,-0.4471,-0.1944,-1.1408,-1.1485
-1.0837,-1.1232,-1.1365,-0.9255,-0.8006,-0.769,-0.5216,-0.4395,-0.2268,-0.5183,-0.2641,-0.1999,-0.8891,-0.9766,-1.0934,-1.3112,-1.2551,-0.8412,-1.0365,-1.1964,-1.068,-0.7336,-0.4429,-0.476,-0.1676,0.0309,-0.2949,-0.0922,-1.0791,-1.1447
-0.9488,-1.0081,-1.0732,-0.8194,-0.7078,-0.7061,-0.3999,-0.3728,-0.1022,-0.3634,-0.136,-0.0696,-0.7069,-0.7886,-0.9374,-1.1812,-1.1169,-0.6739,-0.8963,-1.0555,-0.9053,-0.6174,-0.3225,-0.3176,-0.0596,0.1408,-0.1161,0.0307,-0.9667,-1.092
-0.7863,-0.8539,-0.9633,-0.6817,-0.5827,-0.6119,-0.2519,-0.2852,0.0351,-0.1838,0.0057,0.0774,-0.4834,-0.5495,-0.7607,-1.0043,-0.9378,-0.4952,-0.7294,-0.8637,-0.6905,-0.4798,-0.2077,-0.1446,0.0369,0.2385,0.0747,0.1641,-0.8259,-1.0025
-0.6095,-0.6631,-0.8127,-0.5133,-0.4275,-0.4871,-0.0847,-0.1806,0.1781,0.0081,0.153,0.2269,-0.234,-0.2766,-0.5807,-0.7892,-0.7299,-0.3263,-0.5454,-0.6315,-0.4361,-0.3287,-0.1092,0.0293,0.1111,0.3153,0.2614,0.2953,-0.6775,-0.8857
-0.4259,-0.4364,-0.6253,-0.3123,-0.2429,-0.3304,0.0945,-0.0638,0.32,0.1991,0.2968,0.3638,0.0251,0.0107,-0.4065,-0.543,-0.5027,-0.1816,-0.3513,-0.3687,-0.1559,-0.171,-0.0324,0.1904,0.156,0.3654,0.4282,0.411,-0.5368,-0.7466
-0.2373,-0.1753,-0.4038,-0.0774,-0.0307,-0.1416,0.2781,0.0601,0.4535,0.3757,0.4274,0.4749,0.2763,0.292,-0.2388,-0.272,-0.264,-0.0663,-0.1526,-0.0857,0.1351,-0.0138,0.0217,0.3264,0.1692,0.3861,0.5605,0.4998,-0.4107,-0.586
-0.0415,0.1156,-0.1513,0.1894,0.2029,0.0761,0.4563,0.1846,0.5709,0.5246,0.5349,0.55,0.5009,0.546,-0.0722,0.0161,-0.0211,0.022,0.0449,0.2058,0.4199,0.1346,0.0558,0.426,0.1523,0.3781,0.646,0.5534,-0.2978,-0.4024
