FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.1846,-0.0329,-0.8109,-0.2936,-0.6504,-0.1577,0.0188,-0.5232,1.8792,1.275,1.7821,1.6933,0.3015,-0.4217,-0.3001,-0.1723,-1.0708,-0.4368,-0.3651,-1.7671,-0.9406,-1.0237,-0.8048,0.0091,-0.0986,2.4376,1.4725,1.8895,0.8055,0.2004
0.2963,0.4709,-0.4563,0.0623,-0.5636,-0.0671,-0.2396,-0.8148,1.4719,0.9373,1.3563,1.2503,0.2127,-0.3514,-0.0257,0.4035,-0.6483,-0.1278,0.0494,-1.414,-0.732,-0.8591,-0.6897,-0.2255,-0.263,1.8947,1.0902,1.4035,0.8397,0.2767
0.8266,1.0534,-0.0295,0.504,-0.389,0.0743,-0.4512,-1.0432,1.0773,0.6424,0.9099,0.8176,0.2111,-0.1571,0.3357,1.0545,-0.0541,0.2626,0.6114,-0.9317,-0.3952,-0.5304,-0.4341,-0.3584,-0.3028,1.3258,0.7381,0.8916,0.8268,0.3072
1.3774,1.6907,0.4333,1.004,-0.1434,0.252,-0.6044,-1.1911,0.7373,0.4094,0.482,0.4356,0.2919,0.1338,0.7665,1.7457,0.6776,0.6994,1.2839,-0.3609,0.0331,-0.0678,-0.0687,-0.3793,-0.2254,0.7943,0.4464,0.4006,0.7776,0.2766
1.9102,2.3327,0.8836,1.5123,0.1342,0.4363,-0.7015,-1.2581,0.4867,0.2452,0.107,0.1382,0.4341,0.4743,1.2282,2.4238,1.481,1.14,2.0041,0.2332,0.4923,0.4756,0.3574,-0.2952,-0.05,0.3573,0.2331,-0.023,0.7046,0.1907
2.3778,2.9051,1.2647,1.9612,0.3879,0.5856,-0.7577,-1.2581,0.3498,0.1448,-0.1884,-0.052,0.603,0.8049,1.6648,3.0207,2.2652,1.5396,2.6903,0.7689,0.9055,1.0313,0.7834,-0.1305,0.1971,0.0561,0.1022,-0.3415,0.6201,0.0763
2.7299,3.3216,1.5206,2.2783,0.5564,0.6568,-0.7961,-1.2138,0.3388,0.0945,-0.3881,-0.1278,0.7576,1.0645,2.0119,3.4615,2.9292,1.8572,3.2527,1.1605,1.1925,1.5257,1.1468,0.0775,0.4859,-0.0902,0.044,-0.532,0.5332,-0.0258
2.9187,3.5035,1.6077,2.4015,0.5875,0.6158,-0.8411,-1.15,0.4523,0.076,-0.4875,-0.0989,0.8579,1.2013,2.2095,3.6782,3.3784,2.0606,3.6073,1.334,1.2849,1.8921,1.3933,0.2849,0.7875,-0.086,0.0384,-0.5904,0.4489,-0.0724
2.9084,3.3988,1.5062,2.2939,0.4521,0.4481,-0.9122,-1.0883,0.6742,0.0713,-0.4944,0.0101,0.8725,1.1832,2.2146,3.6231,3.5419,2.1306,3.6907,1.242,1.1396,2.0802,1.4862,0.4498,1.0765,0.0456,0.0602,-0.5308,0.3682,-0.0301
2.682,2.9988,1.2273,1.954,0.1519,0.1642,-1.0198,-1.0436,0.9743,0.0665,-0.4274,0.1651,0.7842,1.0028,2.0115,3.2812,3.3851,2.0626,3.4705,0.873,0.748,2.0628,1.4117,0.5404,1.3337,0.2695,0.0851,-0.3812,0.2902,0.115
2.2494,2.3437,0.813,1.4189,-0.2796,-0.2011,-1.1634,-1.0236,1.3111,0.0532,-0.3133,0.3289,0.5916,0.6775,1.6161,2.6766,2.9164,1.8668,2.9531,0.2553,0.1386,1.8384,1.1799,0.5402,1.5469,0.5473,0.0945,-0.177,0.2148,0.3547
1.6502,1.5186,0.3298,0.7581,-0.7851,-0.5967,-1.3345,-1.03,1.6364,0.0273,-0.1845,0.4671,0.307,0.2444,1.0753,1.8713,2.1865,1.567,2.183,-0.5481,-0.6276,1.4291,0.8217,0.4493,1.7109,0.8431,0.0771,0.0446,0.1446,0.662
0.9509,0.6374,-0.1448,0.0605,-1.2977,-0.9669,-1.5209,-1.0605,1.9003,-0.0134,-0.0743,0.5531,-0.0481,-0.2497,0.458,0.9561,1.28,1.1975,1.2371,-1.4507,-1.4689,0.875,0.3809,0.2811,1.8256,1.1263,0.0284,0.2497,0.0848,1.0009
0.2363,-0.1798,-0.5376,-0.584,-1.7566,-1.2648,-1.712,-1.1114,2.0581,-0.0722,-0.0136,0.5703,-0.4493,-0.7594,-0.1573,0.035,0.3003,0.7987,0.212,-2.3579,-2.2983,0.2265,-0.0943,0.056,1.8931,1.372,-0.053,0.4097,0.0414,1.3371
-0.405,-0.8304,-0.7938,-1.1023,-2.1206,-1.463,-1.9025,-1.1792,2.0761,-0.1552,-0.0259,0.5116,-0.8749,-1.2501,-0.6975,-0.794,-0.6476,0.4117,-0.7911,-3.1836,-3.0404,-0.464,-0.5604,-0.2055,1.9151,1.5598,-0.1693,0.503,0.0188,1.6473
-0.8957,-1.2476,-0.886,-1.4511,-2.3748,-1.558,-2.0928,-1.2602,1.9361,-0.2705,-0.1248,0.3786,-1.3091,-1.7023,-1.1078,-1.4549,-1.474,0.0731,-1.6823,-3.8623,-3.6426,-1.1492,-0.9847,-0.4883,1.8909,1.6726,-0.3254,0.5151,0.0174,1.9235
-1.1823,-1.4097,-0.8167,-1.6214,-2.5281,-1.5672,-2.2869,-1.3512,1.637,-0.4258,-0.3123,0.179,-1.7421,-2.1114,-1.3601,-1.9046,-2.1166,-0.1904,-2.3952,-4.3561,-4.0811,-1.7902,-1.3479,-0.7845,1.817,1.6968,-0.5286,0.4383,0.0324,2.1716
-1.2427,-1.3389,-0.6147,-1.6359,-2.6067,-1.5227,-2.4896,-1.4499,1.194,-0.6252,-0.5792,-0.0743,-2.168,-2.4827,-1.4555,-2.1368,-2.5472,-0.3653,-2.8943,-4.6554,-4.36,-2.358,-1.6435,-1.0913,1.6904,1.6256,-0.7843,0.2735,0.0559,2.4067
-1.0891,-1.0923,-0.3272,-1.5408,-2.6442,-1.4618,-2.7035,-1.5569,0.6355,-0.8665,-0.9069,-0.3648,-2.5815,-2.8253,-1.4214,-2.1788,-2.7714,-0.4521,-3.1775,-4.7764,-4.5062,-2.8336,-1.8753,-1.407,1.5133,1.4626,-1.0911,0.0319,0.0778,2.6458
-0.766,-0.7483,-0.0108,-1.3944,-2.6733,-1.4206,-2.9285,-1.6773,-0.0002,-1.1398,-1.2702,-0.6721,-2.9757,-3.1466,-1.3045,-2.0843,-2.8241,-0.4639,-3.2722,-4.7551,-4.5615,-3.2063,-2.0534,-1.7266,1.2984,1.2263,-1.4357,-0.263,0.0886,2.9016
-0.3431,-0.3922,0.2768,-1.257,-2.721,-1.4285,-3.1623,-1.821,-0.6669,-1.4284,-1.6398,-0.972,-3.3411,-3.4496,-1.1602,-1.9216,-2.761,-0.4222,-3.2283,-4.6403,-4.5737,-3.4734,-2.1914,-2.0396,1.0706,0.9519,-1.7916,-0.5758,0.0796,3.1788
0.0946,-0.1024,0.4839,-1.181,-2.8062,-1.5065,-3.4009,-1.9992,-1.3127,-1.7111,-1.9851,-1.2386,-3.6665,-3.7322,-1.0417,-1.7617,-2.6474,-0.3513,-3.1072,-4.4856,-4.588,-3.6389,-2.303,-2.3293,0.8641,0.6866,-2.1215,-0.8629,0.0432,3.4723
0.4613,0.0602,0.5705,-1.2034,-2.9386,-1.6647,-3.6396,-2.2198,-1.8812,-1.9651,-2.2765,-1.4471,-3.9406,-3.9895,-0.9905,-1.6647,-2.5459,-0.2736,-2.9694,-4.3407,-4.6381,-3.7123,-2.4006,-2.5766,0.7151,0.4805,-2.3848,-1.0805,-0.0277,3.768
0.6849,0.0611,0.5126,-1.3409,-3.1177,-1.9011,-3.8714,-2.4813,-2.3164,-2.1698,-2.4887,-1.5786,-4.1538,-4.2147,-1.0298,-1.67,-2.5062,-0.2057,-2.8647,-4.2437,-4.741,-3.7084,-2.494,-2.7642,0.651,0.3739,-2.5465,-1.195,-0.1374,4.0454
0.7209,-0.1034,0.3055,-1.5866,-3.3316,-2.1999,-4.0857,-2.7686,-2.5691,-2.3077,-2.6037,-1.6238,-4.2984,-4.4001,-1.1615,-1.7896,-2.556,-0.1574,-2.8237,-4.2146,-4.8926,-3.6454,-2.5898,-2.8808,0.6815,0.3859,-2.5861,-1.1911,-0.2852,4.2798
0.562,-0.4041,-0.0329,-1.9104,-3.5558,-2.5306,-4.2657,-3.0524,-2.6047,-2.3658,-2.612,-1.5847,-4.3679,-4.5362,-1.3671,-2.0056,-2.6971,-0.1326,-2.8547,-4.2517,-5.068,-3.5425,-2.6909,-2.9234,0.7933,0.5086,-2.5012,-1.0763,-0.4616,4.4453
0.2406,-0.7824,-0.4622,-2.261,-3.7533,-2.8492,-4.3871,-3.2932,-2.4098,-2.3339,-2.5124,-1.4727,-4.3547,-4.6092,-1.6119,-2.2732,-2.9045,-0.1314,-2.9434,-4.3312,-5.2248,-3.4173,-2.7951,-2.8966,0.9532,0.7099,-2.3078,-0.8774,-0.6466,4.5181
-0.1749,-1.1587,-0.9214,-2.5733,-3.8782,-3.1035,-4.4196,-3.4483,-1.9959,-2.204,-2.3107,-1.3035,-4.2483,-4.5997,-1.8506,-2.5285,-3.1317,-0.1521,-3.0562,-4.4098,-5.3094,-3.2813,-2.8946,-2.8093,1.1165,0.9435,-2.034,-0.6319,-0.8115,4.4794
-0.5922,-1.4446,-1.3367,-2.7773,-3.8814,-3.2404,-4.3303,-3.481,-1.397,-1.9703,-2.0162,-1.0909,-4.0348,-4.4823,-2.0338,-2.6989,-3.3176,-0.191,-3.1457,-4.4313,-5.2656,-3.1371,-2.9746,-2.6697,1.241,1.1624,-1.711,-0.3761,-0.9244,4.3188
-0.9105,-1.5579,-1.6321,-2.8088,-3.7187,-3.2151,-4.0902,-3.3698,-0.6645,-1.63,-1.6396,-0.8416,-3.6969,-4.2283,-2.1138,-2.7156,-3.3968,-0.2401,-3.1572,-4.3351,-5.0427,-2.9756,-3.0132,-2.4794,1.3002,1.3327,-1.3634,-0.1344,-0.958,4.0377
-1.0393,-1.4363,-1.7406,-2.6197,-3.3576,-2.9982,-3.6797,-3.1128,0.1422,-1.1847,-1.1914,-0.5532,-3.2172,-3.8095,-2.0486,-2.5239,-3.3098,-0.2829,-3.036,-4.0656,-4.6023,-2.7746,-2.9817,-2.2306,1.2926,1.4427,-1.0023,0.0877,-0.8978,3.6508
-0.913,-1.0454,-1.6143,-2.1838,-2.7824,-2.5795,-3.0935,-2.7287,0.9639,-0.6413,-0.6818,-0.2159,-2.581,-3.2029,-1.8053,-2.0903,-3.0108,-0.2906,-2.7339,-3.5809,-3.9227,-2.5006,-2.8468,-1.9046,1.2442,1.504,-0.6225,0.3039,-0.7468,3.1858
-0.5009,-0.3823,-1.2302,-1.4992,-1.9949,-1.967,-2.3412,-2.2521,1.7494,-0.0121,-0.1213,0.1836,-1.7801,-2.3954,-1.3628,-1.406,-2.4745,-0.2225,-2.2155,-2.8584,-3.0008,-2.1129,-2.5745,-1.4756,1.2016,1.5459,-0.2051,0.5417,-0.5254,2.68
0.1895,0.5284,-0.5911,-0.586,-1.013,-1.184,-1.4457,-1.7258,2.4594,0.6864,0.4783,0.6573,-0.8166,-1.3872,-0.7151,-0.4851,-1.6986,-0.0312,-1.463,-1.8986,-1.8518,-1.5704,-2.1362,-0.917,1.2198,1.6059,0.2754,0.8332,-0.2669,2.1752
1.1171,1.6409,0.2762,0.5174,0.132,-0.2639,-0.4397,-1.1925,3.0682,1.4348,1.1043,1.2114,0.2944,-0.1945,0.1261,0.6381,-0.7046,0.3276,-0.4797,-0.7249,-0.5083,-0.8411,-1.516,-0.2105,1.3454,1.7178,0.842,1.2047,-0.0086,1.7112
