FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.3115,-0.2799,-0.1335,-0.042,-0.1716,-0.1222,-0.2003,-0.1422,-0.4284,-0.2834,-0.2038,-0.1378,-0.2431,-0.2588,-0.194,-0.0227,-0.0071,-0.1194,-0.0925,-0.1055,-0.1428,-0.1323,0.0237,-0.2454,-0.1343,-0.197,-0.1747,-0.225,0.1093,-0.0477
-0.2318,-0.2247,-0.124,-0.004,-0.1052,-0.1002,-0.1419,-0.111,-0.3966,-0.2143,-0.1367,-0.0933,-0.1465,-0.1742,-0.147,0.0366,0.0604,-0.1133,-0.019,-0.0229,-0.0697,-0.0839,0.0725,-0.1697,-0.1027,-0.1306,-0.1089,-0.1798,0.1211,-0.0688
-0.1534,-0.1566,-0.1106,0.0408,-0.0361,-0.0778,-0.0827,-0.0764,-0.3596,-0.1398,-0.0638,-0.044,-0.0508,-0.0853,-0.0969,0.0913,0.1107,-0.1015,0.0431,0.0596,0.0017,-0.041,0.1144,-0.096,-0.0694,-0.0608,-0.0432,-0.1299,0.1334,-0.0784
-0.0828,-0.0818,-0.0934,0.0899,0.0306,-0.0569,-0.0268,-0.0402,-0.3183,-0.0656,0.0077,0.0051,0.0377,0.0019,-0.0485,0.1374,0.1384,-0.087,0.0907,0.1365,0.0683,-0.0058,0.1456,-0.0306,-0.0378,0.005,0.0167,-0.0799,0.1454,-0.0756
-0.0245,-0.0068,-0.0731,0.1399,0.0906,-0.0384,0.0228,-0.0034,-0.2705,0.0034,0.0717,0.0496,0.1151,0.0818,-0.0052,0.1724,0.1422,-0.0725,0.1238,0.2024,0.1269,0.0211,0.1641,0.0226,-0.0108,0.0608,0.0674,-0.0335,0.1561,-0.0614
0.0198,0.0616,-0.0508,0.1874,0.141,-0.0226,0.0643,0.0334,-0.2121,0.0634,0.1237,0.086,0.1793,0.1497,0.031,0.196,0.1249,-0.0598,0.1449,0.2535,0.1752,0.0408,0.1697,0.0623,0.0098,0.1022,0.1077,0.0066,0.1638,-0.0385
0.0505,0.117,-0.0277,0.2289,0.1802,-0.009,0.0968,0.0692,-0.1396,0.1122,0.1609,0.1114,0.2297,0.2025,0.0596,0.2096,0.0925,-0.05,0.1582,0.2883,0.2121,0.0556,0.1638,0.0893,0.0227,0.1274,0.1379,0.0383,0.1663,-0.0112
0.0692,0.1544,-0.0048,0.2615,0.2077,0.0035,0.1197,0.1026,-0.052,0.1479,0.1824,0.1236,0.2662,0.2385,0.0804,0.2165,0.0525,-0.0442,0.1686,0.3072,0.2373,0.068,0.1487,0.1054,0.0273,0.1357,0.1591,0.0598,0.161,0.0152
0.0782,0.1703,0.0173,0.2828,0.2239,0.0158,0.1329,0.1315,0.0473,0.1702,0.1887,0.1212,0.2885,0.2575,0.0932,0.2202,0.0119,-0.0441,0.1801,0.313,0.2515,0.0795,0.127,0.1122,0.0226,0.1279,0.1721,0.0697,0.146,0.0351
0.0792,0.164,0.0386,0.2913,0.2298,0.0284,0.1365,0.1535,0.1503,0.1791,0.1819,0.1039,0.2961,0.2606,0.0976,0.2235,-0.0236,-0.0515,0.1954,0.3092,0.2562,0.0903,0.1011,0.1108,0.0084,0.1058,0.1767,0.0672,0.1198,0.0435
