FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.09,0.1436,0.0584,0.1054,0.0432,-0.0028,-0.1167,0.0385,-0.0035,-0.0496,0.0296,0.0795,-0.0442,0.029,-0.0224,0.101,-0.1077,-0.4131,-0.1823,0.1474,0.0562,-0.1881,-0.2765,-0.2636,-0.2082,-0.1402,-0.1349,-0.043,0.0221,0.0235
0.1836,0.2498,0.1261,0.2015,0.1349,0.0663,-0.0903,0.0332,-0.0253,-0.0383,0.0699,0.0713,0.0001,0.0996,0.053,0.2223,-0.0119,-0.3426,-0.096,0.2668,0.166,-0.1068,-0.2131,-0.2294,-0.1994,-0.1441,-0.1361,-0.0442,0.0025,-0.0145
0.263,0.3416,0.1799,0.2872,0.2151,0.1237,-0.0702,0.023,-0.0478,-0.0321,0.1069,0.0593,0.0347,0.1594,0.1243,0.3334,0.0761,-0.272,-0.0134,0.3717,0.2617,-0.0311,-0.1552,-0.1921,-0.1895,-0.1481,-0.1427,-0.0528,-0.0168,-0.0537
0.3196,0.4097,0.2143,0.3537,0.2759,0.1629,-0.0574,0.0066,-0.0695,-0.0322,0.1371,0.0462,0.0584,0.2042,0.1843,0.4244,0.148,-0.2053,0.0583,0.4532,0.3361,0.0336,-0.1061,-0.1538,-0.1772,-0.1505,-0.1533,-0.0662,-0.0353,-0.0908
0.3487,0.4485,0.227,0.3948,0.3124,0.1802,-0.0514,-0.0156,-0.0889,-0.0383,0.1581,0.0347,0.0714,0.2318,0.2281,0.489,0.1993,-0.1438,0.1146,0.5059,0.3856,0.0843,-0.0667,-0.1163,-0.1613,-0.1497,-0.1656,-0.0808,-0.0525,-0.1223
0.3503,0.457,0.2197,0.4088,0.3237,0.176,-0.0503,-0.0421,-0.1042,-0.049,0.1683,0.0272,0.0751,0.2418,0.2541,0.5251,0.2307,-0.0865,0.1541,0.5293,0.4099,0.1208,-0.0359,-0.0818,-0.1417,-0.1453,-0.1774,-0.0933,-0.0675,-0.146
0.3299,0.4398,0.1981,0.3989,0.3133,0.1549,-0.0514,-0.0699,-0.1137,-0.0621,0.1678,0.0249,0.0716,0.2363,0.2646,0.5362,0.2473,-0.0306,0.1792,0.528,0.4131,0.145,-0.0113,-0.0519,-0.1196,-0.1379,-0.1871,-0.101,-0.0791,-0.1608
0.2968,0.4058,0.17,0.3732,0.289,0.1245,-0.0514,-0.0959,-0.1164,-0.0743,0.158,0.0278,0.0637,0.2196,0.2652,0.5303,0.2581,0.0277,0.1953,0.511,0.4024,0.1614,0.0109,-0.0279,-0.097,-0.1289,-0.1937,-0.1023,-0.0862,-0.1676
0.2624,0.3671,0.1443,0.3433,0.2612,0.0944,-0.0473,-0.1169,-0.1119,-0.0829,0.1414,0.0344,0.0547,0.1978,0.2638,0.5184,0.2733,0.0922,0.2102,0.4903,0.3873,0.1755,0.0345,-0.0095,-0.0763,-0.1201,-0.1968,-0.0967,-0.088,-0.1687
0.238,0.3361,0.1288,0.3211,0.2406,0.0735,-0.0367,-0.1308,-0.1012,-0.0856,0.1212,0.0425,0.0484,0.1784,0.2679,0.5113,0.302,0.1656,0.2321,0.4777,0.3779,0.1937,0.0634,0.0051,-0.0592,-0.1122,-0.1957,-0.0845,-0.0846,-0.1674
