FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.1717,0.0449,0.0573,0.0838,-0.03,0.0718,0.0185,-0.0692,-0.118,-0.0989,-0.1207,-0.1293,-0.2228,-0.1227,-0.079,0.1463,0.0966,-0.0101,0.3463,0.074,-0.0495,-0.0011,-0.0649,-0.2367,-0.1901,-0.1711,-0.4229,-0.1048,0.0378,-0.2557
-0.1419,0.1497,0.1075,0.1634,0.0393,0.111,0.0522,-0.0703,-0.1165,-0.0537,-0.1131,-0.1333,-0.18,-0.0792,-0.0761,0.2245,0.1784,0.0284,0.3833,0.1473,0.0173,0.0564,-0.0221,-0.2142,-0.2078,-0.2174,-0.4652,-0.1505,0.0794,-0.201
-0.0882,0.2607,0.1569,0.2449,0.1155,0.1539,0.0821,-0.0712,-0.1163,-0.0058,-0.1042,-0.1346,-0.1319,-0.029,-0.0761,0.3077,0.2542,0.0601,0.3935,0.2273,0.0919,0.1114,0.0111,-0.184,-0.2193,-0.2562,-0.4753,-0.1896,0.1168,-0.1448
-0.0177,0.364,0.2004,0.3217,0.1951,0.1985,0.1042,-0.0702,-0.1144,0.0409,-0.0917,-0.1321,-0.0829,0.0243,-0.0706,0.3873,0.3128,0.0838,0.3749,0.3075,0.1687,0.1591,0.0332,-0.1487,-0.2233,-0.2838,-0.4532,-0.2186,0.1455,-0.0956
0.0632,0.4472,0.2355,0.3882,0.2759,0.2426,0.118,-0.0651,-0.1075,0.0835,-0.0733,-0.1251,-0.0356,0.0785,-0.0523,0.4567,0.3478,0.1012,0.3325,0.3825,0.2439,0.1984,0.0473,-0.1093,-0.2182,-0.2968,-0.4023,-0.2348,0.1634,-0.0585
0.1495,0.5022,0.2623,0.4411,0.3567,0.2835,0.126,-0.0534,-0.0927,0.1203,-0.0477,-0.113,0.0094,0.1331,-0.0168,0.5126,0.3588,0.1162,0.2776,0.4496,0.3157,0.2315,0.0608,-0.065,-0.2026,-0.2933,-0.3289,-0.2369,0.1716,-0.0337
0.2373,0.5271,0.2831,0.4795,0.4375,0.3192,0.1331,-0.0336,-0.0685,0.1505,-0.0151,-0.0958,0.0531,0.1889,0.0365,0.5554,0.3513,0.1341,0.2254,0.508,0.3844,0.2635,0.0824,-0.0142,-0.176,-0.273,-0.2409,-0.2247,0.174,-0.0161
0.3241,0.5264,0.3015,0.5054,0.5186,0.3481,0.1448,-0.0052,-0.0361,0.1744,0.0226,-0.0743,0.0975,0.2472,0.1042,0.589,0.3355,0.1599,0.1924,0.5598,0.4516,0.3008,0.1201,0.0453,-0.1384,-0.2378,-0.1465,-0.1996,0.1761,0.0031
0.4076,0.5103,0.3212,0.5231,0.6003,0.37,0.1662,0.0306,0.0011,0.1922,0.0618,-0.0501,0.1445,0.3095,0.1799,0.6199,0.3244,0.198,0.1924,0.6088,0.5199,0.3493,0.1791,0.1143,-0.0912,-0.1911,-0.0526,-0.1636,0.1839,0.0348
0.4845,0.4925,0.3451,0.5391,0.6825,0.3856,0.2005,0.0709,0.0381,0.2047,0.0982,-0.0249,0.1965,0.377,0.2566,0.6564,0.3309,0.2511,0.2349,0.66,0.5919,0.4133,0.2604,0.1926,-0.036,-0.1371,0.0357,-0.1198,0.2024,0.0888
0.5511,0.4877,0.3754,0.561,0.7646,0.3978,0.2491,0.1122,0.0701,0.213,0.1284,0.0002,0.2553,0.4504,0.3282,0.7065,0.3657,0.3206,0.323,0.7193,0.6703,0.4951,0.3612,0.2785,0.0255,-0.0799,0.1163,-0.071,0.2347,0.1715
0.6023,0.5087,0.4131,0.5965,0.8461,0.4112,0.3114,0.1505,0.0938,0.2189,0.151,0.025,0.3222,0.5302,0.3916,0.7765,0.4353,0.4063,0.4535,0.7917,0.757,0.5947,0.4762,0.3697,0.092,-0.0228,0.1896,-0.0197,0.2818,0.2842
0.6338,0.5643,0.459,0.6517,0.9264,0.4318,0.3852,0.1828,0.1084,0.2251,0.1671,0.0508,0.3978,0.6165,0.4464,0.8691,0.5402,0.506,0.6171,0.8805,0.8528,0.7094,0.5981,0.4632,0.1626,0.0326,0.2578,0.0323,0.3422,0.4222
0.6433,0.6576,0.5124,0.7296,1.0042,0.4656,0.4662,0.2069,0.1161,0.2342,0.1802,0.0799,0.4806,0.7078,0.4931,0.9821,0.6746,0.6154,0.8,0.985,0.9561,0.8335,0.7182,0.5551,0.2355,0.085,0.3232,0.0839,0.4121,0.5744
0.6312,0.7846,0.5713,0.8284,1.077,0.5162,0.5476,0.2212,0.1208,0.2479,0.1948,0.1141,0.5661,0.8003,0.5308,1.1071,0.8263,0.7263,0.9852,1.0995,1.0616,0.9575,0.8267,0.6404,0.3073,0.1335,0.387,0.1336,0.4849,0.7244
0.6013,0.9344,0.6316,0.9404,1.1397,0.5823,0.6206,0.2253,0.1266,0.2658,0.2145,0.1532,0.6468,0.887,0.5561,1.2303,0.9778,0.8272,1.1535,1.2127,1.1602,1.0684,0.9125,0.7123,0.372,0.1758,0.4469,0.1786,0.5515,0.8522
